12	1.0 bar	0.10 MPa
16	1.2 bar	0.12 MPa
20	1.4 bar	0.14 MPa
24	1.6 bar	0.16 MPa
28	1.8 bar	0.18 MPa
32	2.0 bar	0.20 MPa
36	2.2 bar	0.22 MPa
40	2.4 bar	0.24 MPa
44	2.6 bar	0.26 MPa
48	2.8 bar	0.28 MPa
53	3.0 bar	0.30 MPa
57	3.2 bar	0.32 MPa
61	3.4 bar	0.34 MPa
66	3.6 bar	0.36 MPa
70	3.8 bar	0.38 MPa
75	4.0 bar	0.40 MPa
80	4.2 bar	0.42 MPa
84	4.4 bar	0.44 MPa
89	4.6 bar	0.46 MPa
94	4.8 bar	0.48 MPa
99	5.0 bar	0.50 MPa
104	5.2 bar	0.52 MPa
109	5.4 bar	0.54 MPa
114	5.6 bar	0.56 MPa
119	5.8 bar	0.58 MPa
124	6.0 bar	0.60 MPa
130	6.2 bar	0.62 MPa
135	6.4 bar	0.64 MPa
141	6.6 bar	0.66 MPa
146	6.8 bar	0.68 MPa
152	7.0 bar	0.70 MPa
